id,company_name,contact_person,phone,email,address,npwp,id_number,client_type,notes,is_active,created_by,created_at,updated_at,user_id,company_id
b0000000-0000-0000-0000-000000000002,,Sari Dewi,08112345009,saridewi@gmail.com,"Jl. Dago Atas No. 45, Bandung",,3273045509900002,perorangan,,true,a0000000-0000-0000-0000-000000000001,2026-06-13T16:41:44.391Z,2026-07-28T18:24:56.802Z,a0000000-0000-0000-0000-000000000009,48befb54-113d-4e1b-b4dd-91cf79d6d8a0
b0000000-0000-0000-0000-000000000003,,Hendra Susanto,08112345010,hendra.s@gmail.com,"Jl. Cihampelas No. 88, Bandung",,3273021203750003,perorangan,,true,a0000000-0000-0000-0000-000000000001,2026-06-13T16:41:44.391Z,2026-07-28T18:24:56.802Z,a0000000-0000-0000-0000-000000000010,48befb54-113d-4e1b-b4dd-91cf79d6d8a0
b0000000-0000-0000-0000-000000000004,,Melati Indah,08112345011,melati.i@gmail.com,"Jl. Sukajadi No. 23, Bandung",,3273076608850004,perorangan,,true,a0000000-0000-0000-0000-000000000001,2026-06-13T16:41:44.391Z,2026-07-28T18:24:56.802Z,a0000000-0000-0000-0000-000000000011,48befb54-113d-4e1b-b4dd-91cf79d6d8a0
b0000000-0000-0000-0000-000000000005,,Rudi Hartono,08112345012,rudi.h@yahoo.com,"Jl. Setiabudhi No. 101, Bandung",,3273031507800005,perorangan,,true,a0000000-0000-0000-0000-000000000001,2026-06-13T16:41:44.391Z,2026-07-28T18:24:56.802Z,a0000000-0000-0000-0000-000000000012,48befb54-113d-4e1b-b4dd-91cf79d6d8a0
b0000000-0000-0000-0000-000000000001,,Andi Kurniawan,08112345008,andi.k@gmail.com,"Jl. Buah Batu No. 12, Bandung",,3273012501850001,perorangan,,true,a0000000-0000-0000-0000-000000000001,2026-06-13T16:41:44.391Z,2026-07-28T18:24:56.802Z,a0000000-0000-0000-0000-000000000008,48befb54-113d-4e1b-b4dd-91cf79d6d8a0
b0000000-0000-0000-0000-000000000006,,Ratna Sari,08112345016,ratna@gmail.com,"Jl. Antapani Tengah No. 5, Bandung",,3273099203880006,perorangan,,true,a0000000-0000-0000-0000-000000000001,2026-06-13T16:41:44.391Z,2026-07-28T18:24:56.802Z,a0000000-0000-0000-0000-000000000016,48befb54-113d-4e1b-b4dd-91cf79d6d8a0
b0000000-0000-0000-0000-000000000007,,Bambang Irawan,08112345017,bambang@yahoo.com,"Jl. Cibeunying Kaler No. 17, Bandung",,3273054705760007,perorangan,,true,a0000000-0000-0000-0000-000000000001,2026-06-13T16:41:44.391Z,2026-07-28T18:24:56.802Z,a0000000-0000-0000-0000-000000000017,48befb54-113d-4e1b-b4dd-91cf79d6d8a0
b0000000-0000-0000-0000-000000000008,,Citra Lestari,08112345018,citra@gmail.com,"Jl. Arcamanik Endah No. 33, Bandung",,3273021103920008,perorangan,,true,a0000000-0000-0000-0000-000000000001,2026-06-13T16:41:44.391Z,2026-07-28T18:24:56.802Z,a0000000-0000-0000-0000-000000000018,48befb54-113d-4e1b-b4dd-91cf79d6d8a0
b0000000-0000-0000-0000-000000000009,,Dodi Setiawan,08112345019,dodi@gmail.com,"Jl. Lembang Raya No. 88, Lembang",,3273038806830009,perorangan,,true,a0000000-0000-0000-0000-000000000001,2026-06-13T16:41:44.391Z,2026-07-28T18:24:56.802Z,a0000000-0000-0000-0000-000000000019,48befb54-113d-4e1b-b4dd-91cf79d6d8a0
b0000000-0000-0000-0000-000000000010,,Eko Prasetyo,08112345020,eko@gmail.com,"Jl. Pasteur No. 55, Bandung",,3273017709790010,perorangan,,true,a0000000-0000-0000-0000-000000000001,2026-06-13T16:41:44.391Z,2026-07-28T18:24:56.802Z,a0000000-0000-0000-0000-000000000020,48befb54-113d-4e1b-b4dd-91cf79d6d8a0
